Volume_due_in_2,Volume_due_in_3,Volume_due_in_4,Probability
0,0,0,0.1353352832366127
50,0,0,0.024360350982590286
0,50,0,0.032480467976787046
0,0,50,0.024360350982590286
100,0,0,0.04279301655941693
0,100,0,0.05803176945185953
0,0,100,0.04279301655941693
150,0,0,0.023784042175773155
0,150,0,0.03520453566140852
0,0,150,0.023784042175773155
50,50,0,0.0058464842358216685
50,0,50,0.004384863176866251
0,50,50,0.0058464842358216685
50,100,0,0.011001222486916365
50,0,100,0.008015213972584721
100,50,0,0.010686951963446304
0,50,100,0.010686951963446304
100,0,50,0.008015213972584721
0,100,50,0.011001222486916365
200,0,0,0.010191844326571137
50,150,0,0.008087929803481943
50,0,150,0.005280271043936301
150,50,0,0.007040361391915065
0,200,0,0.018817213299393273
0,50,150,0.007040361391915065
150,0,50,0.005280271043936301
0,150,50,0.008087929803481943
0,0,200,0.010191844326571137
100,100,0,0.01990672342887758
100,0,100,0.014537204417320605
0,100,100,0.019906723428877584
250,0,0,0.007307666753411042
100,150,0,0.014108424052743354
100,0,150,0.009271857525098924
150,100,0,0.012571990382445278
0,250,0,0.014434724039778439
0,100,150,0.012571990382445278
150,0,100,0.009271857525098924
0,150,100,0.014108424052743354
0,0,250,0.007307666753411042
300,0,0,0.0036369837520360826
150,150,0,0.00748709002545505
150,0,150,0.005091533313307852
0,300,0,0.00804356798153524
0,150,150,0.007487090025455049
0,0,300,0.0036369837520360826
50,50,50,0.001885623140820374
50,50,100,0.0031427052347006226
50,100,50,0.0031427052347006226
100,50,50,0.0031427052347006226
200,50,0,0.0038760031227974344
50,200,0,0.0051680041637299145
50,50,150,0.0012570820938802494
200,0,50,0.0029070023420980735
50,150,50,0.0012570820938802494
50,0,200,0.0029070023420980735
150,50,50,0.0012570820938802494
0,200,50,0.0051680041637299145
0,50,200,0.0038760031227974344
50,100,100,0.005237842057834372
100,50,100,0.005237842057834372
100,100,50,0.005237842057834372
200,100,0,0.0064600052046623925
50,250,0,0.0027935157641783316
50,100,150,0.0020951368231337474
200,0,100,0.004845003903496796
50,150,100,0.0020951368231337474
50,0,250,0.0015713526173503113
250,50,0,0.0020951368231337474
100,200,0,0.008613340272883187
100,50,150,0.0020951368231337474
150,50,100,0.0020951368231337474
0,200,100,0.008613340272883187
0,50,250,0.0020951368231337474
250,0,50,0.0015713526173503113
100,150,50,0.0020951368231337474
100,0,200,0.004845003903496796
150,100,50,0.0020951368231337474
0,250,50,0.0027935157641783316
0,100,200,0.0064600052046623925
350,0,0,0.0016237310379286544
200,150,0,0.0025840020818649573
200,0,150,0.0019380015613987172
50,300,0,0.0005587031528356663
50,150,150,0.0008380547292534997
50,0,300,0.00031427052347006223
300,50,0,0.00041902736462674984
150,200,0,0.0034453361091532756
150,50,150,0.0008380547292534996
0,350,0,0.003848843941756813
0,200,150,0.0034453361091532756
0,50,300,0.00041902736462674984
300,0,50,0.00031427052347006223
150,150,50,0.0008380547292534997
150,0,200,0.0019380015613987172
0,300,50,0.0005587031528356663
0,150,200,0.0025840020818649573
0,0,350,0.0016237310379286544
100,100,100,0.008729736763057282
250,100,0,0.0034918947052229123
100,250,0,0.00465585960696389
100,100,150,0.0034918947052229123
250,0,100,0.002618921028917184
100,150,100,0.0034918947052229123
100,0,250,0.002618921028917184
150,100,100,0.0034918947052229123
0,250,100,0.00465585960696389
0,100,250,0.0034918947052229123
400,0,0,0.0005237842057834373
250,150,0,0.001396757882089166
250,0,150,0.0010475684115668737
100,300,0,0.0009311719213927775
100,150,150,0.001396757882089166
100,0,300,0.0005237842057834373
300,100,0,0.0006983789410445829
150,250,0,0.0018623438427855545
150,100,150,0.001396757882089166
0,400,0,0.0012415625618570362
0,250,150,0.0018623438427855545
0,100,300,0.0006983789410445829
300,0,100,0.0005237842057834373
150,150,100,0.001396757882089166
150,0,250,0.0010475684115668737
0,300,100,0.0009311719213927775
0,150,250,0.001396757882089166
0,0,400,0.0005237842057834373
450,0,0,6.983789410445828e-05
300,150,0,0.00027935157641783317
300,0,150,0.0002095136823133749
150,300,0,0.0003724687685571109
150,150,150,0.000558703152835667
150,0,300,0.0002095136823133749
0,450,0,0.00016554167491427153
0,300,150,0.00037246876855711095
0,150,300,0.00027935157641783317
0,0,450,6.983789410445828e-05
