Threshold,3PL_Cost,Truck_Cost,Expected_Shipments_per_Day,Holding_Cost_Rate_per_ft3
600,786.5,293.52,0.6944,0.08495
650,772.34,286.25,0.6667,0.08495
700,757.0,278.97,0.6389,0.08495
750,740.48,271.69,0.6111,0.08495
800,722.79,264.41,0.5833,0.08495
850,703.91,257.13,0.5556,0.08495
900,683.85,249.86,0.5278,0.08495
950,662.61,242.58,0.5,0.08495
1000,640.2,233.47,0.4722,0.08495
1050,616.6,224.36,0.4444,0.08495
1100,591.82,215.25,0.4167,0.08495
1150,565.86,206.13,0.3889,0.08495
1200,538.73,197.02,0.3611,0.08495
